Job Title,Location,Years of Experience,Technical Skill,Language
Data Scientist,Ontario,17,"Java, RESTful API, SQL, Python",Spanish
Network Administrator,Ontario,1,"Java, SQL, Node.js",French
Web Developer,Ontario,3,"Java, RESTful API, Python, SQL, Node.js",English
Network Administrator,Texas,12,"SQL, Python",Mandarin
Software Engineer,Texas,11,"Node.js, RESTful API, Python, SQL, Java",French
Network Administrator,Texas,8,"Java, RESTful API, SQL, Python, Node.js",Mandarin
Web Developer,Ontario,19,"Node.js, SQL, RESTful API, Python, Java",Spanish
Data Scientist,Texas,11,"SQL, Java, Node.js, Python, RESTful API",Mandarin
Systems Analyst,Texas,16,"Node.js, Java, SQL, RESTful API, Python",French
Systems Analyst,Ontario,2,"Python, RESTful API, Node.js, SQL",Mandarin
