Company,Industry,Short Description (< 5 words),Title,Tag,Year,Link
Stripe,Fintech and banking,Prevent fraudelent transactions,How we built it: Stripe Radar,fraud detection,2023,https://stripe.com/blog/how-we-built-it-stripe-radar
Walmart,E-commerce and retail,Recommend complementary items,Personalized ‘Complete the Look’ model,"recommender system,product feature,CV",2023,https://medium.com/walmartglobaltech/personalized-complete-the-look-model-ea093aba0b73
Uber,Delivery and mobility,Forecast demand for airport rides,Demand and ETR Forecasting at Airports,demand forecasting,2023,https://www.uber.com/en-GB/blog/demand-and-etr-forecasting-at-airports/
Pinterest,Social platforms,Prevent advertiser churn,An ML based approach to proactive advertiser churn prevention,churn prediction,2023,https://medium.com/pinterest-engineering/an-ml-based-approach-to-proactive-advertiser-churn-prevention-3a7c0c335016
Stitch Fix,E-commerce and retail,Generate ad headlines,A New Era of Creativity: Expert-in-the-loop Generative AI at Stitch Fix,"product feature,NLP,generative AI",2023,https://multithreaded.stitchfix.com/blog/2023/03/06/expert-in-the-loop-generative-ai-at-stitch-fix/
Swiggy,Delivery and mobility,Recommend items to order,Building a mind reader at Swiggy using Data Science,"product feature,recommender system",2023,https://bytes.swiggy.com/building-a-mind-reader-at-swiggy-using-data-science-5a5c38aa6c17
Microsoft,Tech,Diagnose production incidents with LLM,Large-language models for automatic cloud incident management,"ops,generative AI,product feature",2023,https://www.microsoft.com/en-us/research/blog/large-language-models-for-automatic-cloud-incident-management/
Foodpanda,Delivery and mobility,Optimize menu sorting order,Menu Ranking,content personalization,2023,https://medium.com/foodpanda-data/menu-ranking-422ad21f381e
Zillow,E-commerce and retail,Estimate the house market value,Building the Neural Zestimate,pricing,2023,https://www.zillow.com/tech/building-the-neural-zestimate/
Airbnb,"Travel,E-commerce and retail",Identify user interests,Prioritizing Home Attributes Based on Guest Interest,"NLP,item classification,search",2023,https://medium.com/airbnb-engineering/prioritizing-home-attributes-based-on-guest-interest-3c49b827e51a
GitHub,Tech,Generate code and code suggestions,Inside GitHub: Working with the LLMs behind GitHub Copilot,"product feature,generative AI",2023,https://github.blog/2023-05-17-inside-github-working-with-the-llms-behind-github-copilot/
DoorDash,Delivery and mobility,Optimize courier waiting time,Lifecycle of a Successful ML Product: Reducing Dasher Wait Times,"product feature,ETA prediction",2023,https://doordash.engineering/2023/02/15/lifecycle-of-a-successful-ml-product-reducing-dasher-wait-times/
Linkedin,Social platforms,Select best payment gateway,Improving the customer’s experience via ML-driven payment routing,ops,2023,https://engineering.linkedin.com/blog/2023/improving-the-customer-s-experience-via-ml-driven-payment-routin
Wayfair,E-commerce and retail,Predict delivery times,Delivery-Date Prediction,ETA prediction,2023,https://www.aboutwayfair.com/careers/tech-blog/delivery-date-prediction
Linkedin,Social platforms,Detect viral spam,Viral spam content detection at LinkedIn,spam / content moderation,2023,https://engineering.linkedin.com/blog/2023/viral-spam-content-detection-at-linkedin
Lyft,Delivery and mobility,Recommend content in app,The Recommendation System at Lyft,recommender system,2023,https://eng.lyft.com/the-recommendation-system-at-lyft-67bc9dcc1793
Honeycomb,Tech,Generate queries with natural language,All the Hard Stuff Nobody Talks About when Building Products with LLMs,"NLP,product feature,generative AI",2023,https://www.honeycomb.io/blog/hard-stuff-nobody-talks-about-llm
Zalando,E-commerce and retail,Forecast demand in fashion e-commerce,Deep Learning based Forecasting: a case study from the online fashion industry,demand forecasting,2023,https://arxiv.org/abs/2305.14406
Etsy,E-commerce and retail,Recommend relevant marketplace items,How We Built a Multi-Task Canonical Ranker for Recommendations at Etsy,recommender system,2023,https://www.etsy.com/uk/codeascraft/how-we-built-a-multi-task-canonical-ranker-for-recommendations-at-etsy
Yelp,Social platforms,Organize e-commerce content using embeddings,Yelp Content As Embeddings,"NLP,CV,item classification",2023,https://engineeringblog.yelp.com/2023/04/yelp-content-as-embeddings.html
Monzo,Fintech and banking,Select relevant marketing messages ,Optimising marketing messages for Monzo users,"causality,content personalization",2023,https://medium.com/data-monzo/optimising-marketing-messages-for-monzo-users-3fe805f24572
Monzo,Fintech and banking,Detect patterns in text data,Using topic modelling to understand customer saving goals,"NLP,item classification",2023,https://medium.com/data-monzo/using-topic-modelling-to-understand-customer-saving-goals-2bb06f00ce2d
Wayfair,E-commerce and retail,Predict new product’s sales potential,How Wayfair uses “Predicted Winners” Models to Accelerate Success for New Products,demand forecasting,2023,https://www.aboutwayfair.com/careers/tech-blog/how-wayfair-uses-predicted-winners-models-to-accelerate-success-for-new-products
Airbnb,"Travel,E-commerce and retail",Personalized listing search,Learning To Rank Diversely,search,2023,https://medium.com/airbnb-engineering/learning-to-rank-diversely-add6b1929621
Twitter,Social platforms,Recommend interesting tweets,Twitter's Recommendation Algorithm,recommender system,2023,https://blog.twitter.com/engineering/en_us/topics/open-source/2023/twitter-recommendation-algorithm 
DoorDash,Delivery and mobility,Predict if a store is open,How DoorDash Upgraded a Heuristic with ML to Save Thousands of Canceled Orders,"product feature,ETA prediction",2023,https://doordash.engineering/2023/01/10/how-doordash-upgraded-a-heuristic-with-ml-to-save-thousands-of-canceled-orders/
Wayfair,E-commerce and retail,Identify business customers,Hamlet: Wayfair's ML Approach to Identifying Business Shopper,lead scoring,2023,https://www.aboutwayfair.com/careers/tech-blog/hamlet
Wayfair,E-commerce and retail,Detect fraud with embeddings,Introducing Melange: A Customer Journey Embedding System for Improving Fraud and Policy Abuse Detection,fraud detection,2023,https://www.aboutwayfair.com/careers/tech-blog/introducing-melange-a-customer-journey-embedding-system-for-improving-fraud-and-scam-detection
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML & Human in the Loop,search,2023,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-human-in-the-loop-35b78a837725
Spotify,Media and streaming,Automatically generate ad content,How We Automated Content Marketing to Acquire Users at Scale,"ad ranking / targeting,content personalization",2023,https://engineering.atspotify.com/2023/11/how-we-automated-content-marketing-to-acquire-users-at-scale/
Instacart,E-commerce and retail,Predict availability of food items,How Instacart Modernized the Prediction of Real Time Availability for Hundreds of Millions of Items While Saving Costs,demand forecasting,2023,https://tech.instacart.com/how-instacart-modernized-the-prediction-of-real-time-availability-for-hundreds-of-millions-of-items-59b2a82c89fe
Linkedin,Social platforms,Personalize the homepage feed,Enhancing homepage feed relevance by harnessing the power of large corpus sparse ID embeddings,content personalization,2023,https://engineering.linkedin.com/blog/2023/enhancing-homepage-feed-relevance-by-harnessing-the-power-of-lar
Doordash,Delivery and mobility,Forecast order volumes and deliveries,How DoorDash Built an Ensemble Learning Model for Time Series Forecasting,demand forecasting,2023,https://doordash.engineering/2023/06/20/how-doordash-built-an-ensemble-learning-model-for-time-series-forecasting/
Expedia,"Travel,E-commerce and retail",Forecast flight prices,Using Synthetic Search Data for Flights Price Forecasting,"pricing,ops",2023,https://medium.com/expedia-group-tech/using-synthetic-search-data-for-flights-price-forecasting-4cf3277afdaf
Nextdoor,Social platforms,Generate engaging email subject lines,Let AI Entertain You: Increasing User Engagement with Generative AI and Rejection Sampling,"generative AI,content personalization",2023,https://engblog.nextdoor.com/let-ai-entertain-you-increasing-user-engagement-with-generative-ai-and-rejection-sampling-50a402264f56
Criteo,Tech,Figure out users' preferences,Recommender systems need a user model,recommender system,2023,https://medium.com/criteo-engineering/recommender-systems-need-a-user-model-c3b3790311bf
Apple,Tech,Identify objects on images,Fast Class-Agnostic Salient Object Segmentation,CV,2023,https://machinelearning.apple.com/research/salient-object-segmentation
Zillow,E-commerce and retail,Identify and block unwanted callers,SpectroBrain: Detecting Phone Spam with Semi-Supervised Learning,spam / content moderation,2023,https://www.zillow.com/tech/spectrobrain-detecting-phone-spam-with-semi-supervised-learning/
Algolia,Tech,Suggest relevant search queries,Feature Spotlight: Query Suggestions,"search,product feature",2023,https://www.algolia.com/blog/product/feature-spotlight-query-suggestions/
Netflix,Media and streaming,In-video search,Building In-Video Search,search,2023,https://netflixtechblog.com/building-in-video-search-936766f0017c
Grab,"Delivery and mobility,Banking and finance",Automatically tag sensitive data,LLM-powered data classification for data entities at scale,generative AI,2023,https://engineering.grab.com/llm-powered-data-classification
Doordash,Delivery and mobility,Accurately forecast demand during holidays,How DoorDash Improves Holiday Predictions via Cascade ML Approach,demand forecasting,2023,https://doordash.engineering/2023/08/31/how-doordash-improves-holiday-predictions-via-cascade-ml-approach/
Netflix,Media and streaming,Personalize video clips,The Next Step in Personalization: Dynamic Sizzles,"content personalization,product feature",2023,https://netflixtechblog.com/the-next-step-in-personalization-dynamic-sizzles-4dc4ce2011ef
BlaBlaCar,Delivery and mobility,Prevent phishing and payment fraud,How we used machine learning to fight fraud at BlaBlaCar — Part 1,fraud detection,2023,https://medium.com/blablacar/how-we-used-machine-learning-to-fight-fraud-at-blablacar-part-1-3b976c9dcdf6
Instacart,E-commerce and retail,Personalize user experience by recommending relevant products,Using Contextual Bandit models in large action spaces at Instacart,recommender system,2023,https://tech.instacart.com/using-contextual-bandit-models-in-large-action-spaces-at-instacart-cb7ab4d8fa4f
Pinterest,Social platforms,Recommend similar visual content,Training Foundation Improvements for Closeup Recommendation Ranker,recommender system,2023,https://medium.com/pinterest-engineering/training-foundation-improvements-for-closeup-recommendation-ranker-67d90603426e
Spotify,Media and streaming,Recommend new complementary music,Spotify Track Neural Recommender System,recommender system,2023,https://medium.com/stanford-cs224w/spotify-track-neural-recommender-system-51d266e31e16
Meta,Social platforms,Generate code with LLM,"Introducing Code Llama, a state-of-the-art large language model for coding",generative AI,2023,https://ai.meta.com/blog/code-llama-large-language-model-coding/
Grammarly,Tech,Suggest gender-inclusive grammatical error corrections,Improving the Performance of NLP Systems on the Gender-Neutral “They”,NLP,2023,https://arxiv.org/abs/2306.07415
Netflix,Media and streaming,Detect speech and music in audio,Detecting Speech and Music in Audio Content,product feature,2023,https://netflixtechblog.com/detecting-speech-and-music-in-audio-content-afd64e6a5bf8
Salesforce,Tech,Extract relevant information from a knowledge article,Resolve Cases Quickly with Interactive Einstein Search Answers,search,2023,https://blog.salesforceairesearch.com/einstein-search-answers/
Etsy,E-commerce and retail,Show relevant ads,Leveraging Real-Time User Actions to Personalize Etsy Ads,ad ranking / targeting,2023,https://arxiv.org/pdf/2302.01255.pdf
GitHub,Tech,AI copilot for code generation,How to build an enterprise LLM application: Lessons from GitHub Copilot,generative AI,2023,https://github.blog/2023-09-06-how-to-build-an-enterprise-llm-application-lessons-from-github-copilot/
Uber,Delivery and mobility,Detect potential fraudulent entities,Risk Entity Watch – Using Anomaly Detection to Fight Fraud,fraud detection,2023,https://www.uber.com/en-IN/blog/risk-entity-watch/?uclick_id=9c4355d3-795f-4b1d-b18e-4b8b4c8ed29f
Expedia,"Travel,E-commerce and retail",Predict Customer Lifetime Value (CLV),Expedia Group’s Customer Lifetime Value Prediction Model,propensity to buy,2023,https://medium.com/expedia-group-tech/expedia-groups-customer-lifetime-value-prediction-model-7927cdd44342
Dailymotion,Media and streaming,Recommend diversified video content ,Reinvent your recommender system using Vector Database and Opinion Mining,recommender system,2023,https://medium.com/dailymotion/reinvent-your-recommender-system-using-vector-database-and-opinion-mining-a4fadf97d020
Swiggy,Delivery and mobility,Predict food delivery time,Where is my order? — Part I,ETA prediction,2023,https://bytes.swiggy.com/how-ml-powers-when-is-my-order-coming-part-i-4ef24eae70da
Swiggy,Delivery and mobility,Сonversational and open-ended search,Swiggy’s Generative AI Journey: A Peek Into the Future,"generative AI,search",2023,https://bytes.swiggy.com/swiggys-generative-ai-journey-a-peek-into-the-future-2193c7166d9a
New York Times,Media and streaming,Recommend recipes to readers,How The New York Times Cooking Team Makes Personalized Recipe Recommendations,recommender system,2023,https://open.nytimes.com/how-the-new-york-times-cooking-team-makes-personalized-recipe-recommendations-7b86df9b22ec
Expedia,"Travel,E-commerce and retail",Suggest diverse travel recommendations,Generating Diverse Travel Recommendations,recommender system,2023,https://medium.com/expedia-group-tech/generating-diverse-travel-recommendations-76688f49c812
